Question_Sample,qwen2.5-72b-instruct_PAST,llama33-70b-instruct-PAST,llama4-maverick_PAST,llama4-scout_PAST,nova-premier_PAST,nova-pro_PAST,mistral-large-2_PAST,qwen3-turbo-latest_PAST,qwen3-4B_PAST,qwen2.5-max-latest_PAST,qwen3-4b-q6kl-gguf_PAST,qwen3-1.7B-bf16-gguf_PAST,qwen3-plus-latest_PAST,qwen3-4b-bf16-gguf
q201_s14,2,2,2,2,2,2,3,2,2,2,2,2,2,2
q201_s15,2,2,2,2,2,0,3,2,2,2,2,2,2,2
q201_s16,2,2,2,2,2,2,3,2,2,2,2,2,2,2
q201_s17,2,2,2,2,2,2,3,2,2,2,2,2,2,2
q201_s18,2,2,2,2,2,0,3,2,2,2,2,2,2,2
q201_s19,2,2,2,2,2,2,3,2,2,2,2,2,2,2
q201_s2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
q201_s20,2,2,2,2,2,2,3,2,2,2,2,2,2,2
q201_s3,2,2,2,2,2,1,3,2,2,2,2,2,2,2
q201_s4,2,2,2,2,2,2,2,2,2,2,2,2,2,1
q201_s5,2,2,2,2,2,2,3,2,1,2,2,2,2,2
q201_s6,2,2,2,2,0,2,3,2,2,2,2,2,2,2
q201_s7,2,2,2,2,2,1,3,2,2,2,2,2,2,2
q201_s8,2,2,2,2,2,2,3,2,2,2,2,2,2,2
q201_s9,2,2,2,2,2,2,3,2,2,2,2,2,2,2
q202_s1,2,2,2,18,2,2,2,2,2,2,2,2,2,2
q202_s10,2,2,2,2,2,2,2,2,2,2,2,2,2,2
q202_s11,2,2,2,20,2,2,1,2,2,2,2,2,2,2
q202_s12,2,2,2,2,2,2,2,2,2,2,2,2,2,2
q202_s13,2,2,2,20,2,2,3,2,2,2,2,2,2,2
q202_s14,2,2,2,2,2,2,1,2,2,2,2,2,2,2
q202_s15,2,2,2,3,2,0,3,2,2,2,2,2,2,2
q202_s16,2,2,2,3,2,2,2,2,2,2,2,2,2,2
q202_s17,2,8,3,2,2,2,2,2,2,2,2,2,2,2
q202_s18,2,2,2,2,2,2,2,2,2,2,2,2,2,2
q202_s19,2,2,2,3,2,0,2,2,2,2,2,2,2,2
q202_s2,2,2,2,2,2,2,3,2,2,2,2,2,2,1
q202_s20,2,2,2,3,2,2,2,2,2,2,2,2,2,1
q202_s3,2,2,2,2,2,2,3,2,2,2,2,2,2,2
q202_s4,2,2,2,7,2,2,1,2,2,2,2,2,2,2
q202_s5,2,2,2,2,2,1,2,2,2,2,2,2,2,2
q202_s6,2,2,2,3,2,2,2,2,2,2,2,2,2,2
q202_s7,2,2,2,2,2,2,4,2,2,2,2,2,2,2
q202_s8,2,2,2,3,2,2,2,2,2,2,2,2,2,1
q202_s9,2,2,2,2,2,2,2,2,2,2,2,2,2,2
q301_s1,6,4,3,2,3,0,3,3,1,3,1,1,5,1
q301_s10,3,4,4,1,3,3,2,3,1,3,1,1,4,1
q301_s11,7,4,4,1,3,3,1,3,1,3,1,2,4,1
q301_s12,6,4,8,1,3,3,3,3,1,7,1,3,5,1
q301_s13,3,4,7,2,3,3,3,3,1,7,1,2,2,1
q301_s14,5,4,10,1,3,3,2,3,1,20,1,2,2,1
q301_s15,6,4,7,1,3,3,3,3,1,3,1,2,3,2
q301_s16,6,4,9,2,3,3,2,3,1,3,1,2,5,2
q301_s17,7,4,9,1,3,3,2,3,1,4,1,1,4,1
q301_s18,7,4,6,1,3,3,3,3,1,3,1,2,3,1
q301_s19,6,4,2,2,3,3,2,3,1,3,1,1,2,1
q301_s2,4,4,9,1,3,3,2,3,1,20,2,1,3,1
q301_s20,6,4,6,1,3,3,3,3,1,8,1,1,4,1
q301_s3,5,4,6,2,3,3,3,3,1,3,1,2,2,1
q301_s4,8,4,8,1,3,3,2,3,1,7,3,1,4,1
q301_s5,7,4,7,1,3,3,2,3,1,3,1,1,4,1
q301_s6,2,4,4,2,3,3,3,3,1,3,1,2,6,1
q301_s7,7,4,3,5,3,3,3,3,1,3,1,2,4,1
q301_s8,6,5,3,1,3,3,3,3,1,9,1,1,2,1
q301_s9,5,4,6,1,3,3,1,3,1,3,1,1,5,1
q302_s1,15,4,3,20,3,4,2,3,1,3,1,2,3,1
q302_s10,6,4,4,2,3,4,2,3,1,3,1,1,6,6
q302_s11,5,5,2,3,3,4,3,3,6,3,3,2,5,2
q302_s12,6,5,6,20,3,3,1,3,2,3,1,1,3,3
q302_s13,20,5,2,2,3,4,3,3,1,3,2,2,4,1
q302_s14,8,5,3,3,3,4,1,3,2,3,2,1,4,1
q302_s15,6,5,6,20,3,3,2,3,3,3,1,1,4,2
q302_s16,20,5,4,3,3,3,4,2,1,3,1,4,4,1
q302_s17,3,5,5,2,1,3,2,3,3,3,7,1,5,1
q302_s18,5,4,3,3,3,4,1,3,1,3,2,2,5,1
q302_s19,9,12,9,20,3,4,1,3,1,3,1,1,4,1
q302_s2,6,4,7,20,3,4,1,3,3,3,2,1,4,1
q302_s20,6,6,4,3,3,1,5,3,4,3,1,1,4,1
q302_s3,5,5,5,6,3,4,20,3,6,3,1,1,3,2
q302_s4,8,4,3,13,3,4,2,3,5,3,3,3,4,2
q302_s5,6,5,3,2,3,4,20,3,2,3,1,2,4,5
q302_s6,7,5,4,3,3,4,20,3,2,3,3,2,3,3
q302_s7,20,5,4,3,3,4,2,3,3,3,3,2,3,1
q302_s8,5,4,7,20,3,4,2,3,5,3,2,2,4,3
q302_s9,7,5,3,20,3,4,2,3,5,3,3,2,4,2
q401_s1,2,5,7,9,2,2,1,8,7,5,11,20,7,11
q401_s10,2,9,7,12,7,2,2,8,6,4,11,5,5,8
q401_s11,2,7,7,7,5,2,2,8,9,8,6,1,7,7
q401_s12,2,5,7,5,5,0,2,2,8,4,4,1,7,20
q401_s13,2,7,7,8,5,2,2,8,7,5,9,4,7,7
q401_s14,2,7,8,9,5,2,2,8,7,6,10,20,5,7
q401_s15,2,7,7,12,0,2,1,5,7,5,20,5,7,6
q401_s16,2,8,7,10,5,2,2,8,5,5,6,5,5,7
q401_s17,2,9,7,5,5,2,2,8,8,5,10,7,7,6
q401_s18,2,9,8,8,5,2,2,8,8,6,8,6,5,8
q401_s19,2,10,7,8,5,2,8,8,8,2,20,1,5,6
q401_s2,2,9,7,9,5,2,1,2,6,6,20,9,5,5
q401_s20,2,7,7,9,5,2,1,8,7,5,3,5,5,4
q401_s3,2,5,7,5,5,2,2,8,8,4,9,6,7,7
q401_s4,2,5,7,12,5,2,2,2,7,7,7,6,5,9
q401_s5,5,7,7,10,5,2,3,7,7,8,8,8,6,6
q401_s6,2,8,7,8,5,2,2,2,7,9,20,9,5,7
q401_s7,2,7,7,8,5,2,2,5,7,5,5,5,5,10
q401_s8,5,7,7,7,5,2,2,8,5,4,6,5,5,4
q401_s9,2,9,8,12,5,2,2,2,8,7,6,5,5,8
q402_s1,5,5,5,8,5,2,15,2,9,5,7,5,7,20
q402_s10,2,5,5,13,5,2,2,8,3,7,8,20,7,4
q402_s11,5,5,6,9,5,2,2,2,10,5,1,10,7,5
q402_s12,5,5,7,8,5,2,2,8,7,5,20,20,5,20
q402_s13,5,5,5,8,5,2,2,2,7,7,20,1,5,20
q402_s14,5,5,7,9,5,2,8,8,8,7,10,20,5,7
q402_s15,5,7,7,9,5,0,2,8,7,6,5,5,7,5
q402_s16,5,5,6,8,5,2,2,8,12,5,20,11,7,5
q402_s17,2,5,8,9,5,2,2,8,7,7,12,5,5,7
q402_s18,5,5,5,7,5,2,2,8,6,5,7,11,5,20
q402_s19,5,5,7,7,5,2,2,7,6,7,8,13,7,20
q402_s2,5,5,5,8,5,2,2,2,8,5,4,16,5,7
q402_s20,2,5,7,14,5,2,20,7,5,5,20,20,5,20
q402_s3,2,5,8,9,5,0,20,6,5,2,6,5,5,7
q402_s4,6,5,8,10,5,2,2,2,8,6,20,20,7,5
q402_s5,5,5,5,11,5,2,2,8,15,8,3,13,5,7
q402_s6,2,7,7,9,5,2,2,2,8,7,8,6,5,20
q402_s7,2,5,5,14,5,2,2,2,1,5,15,4,5,5
q402_s8,2,5,5,12,5,2,2,2,8,5,8,5,5,5
q402_s9,5,5,5,9,5,2,3,2,8,5,4,1,5,20

Average_q101,4.95,4.75,5.0,4.0,5.0,4.3,3.4,4.4,3.3,5.0,3.35,4.25,4.2,4.0
Max_q101,5,5,7,4,5,5,5,5,7,5,5,6,6,6
Min_q101,4,3,3,4,5,3,1,3,1,5,1,4,3,1
Mode_q101,5,5,5,4,5,4,4,4,1,5,4,4,4,5
Average_q102,1.0,1.0,1.0,1.0,2.65,1.85,1.1,1.0,1.0,1.0,1.0,1.5,1.0,1.0
Max_q102,1,1,1,1,6,2,2,1,1,1,1,2,1,1
Min_q102,1,1,1,1,2,1,1,1,1,1,1,1,1,1
Mode_q102,1,1,1,1,2,2,1,1,1,1,1,1,1,1
Average_q103,1.0,1.0,1.0,1.0,1.8,1.15,1.3,0.95,1.0,1.0,1.0,1.1,1.0,1.0
Max_q103,1,1,1,1,6,2,2,1,1,1,1,2,1,1
Min_q103,1,1,1,1,0,1,1,0,1,1,1,1,1,1
Mode_q103,1,1,1,1,2,1,1,1,1,1,1,1,1,1
Average_q104,7.0,7.0,8.9,6.65,5.7,4.5,3.55,7.5,6.85,6.45,5.45,4.9,7.25,5.7
Max_q104,7,8,14,8,7,7,7,11,20,7,7,7,12,8
Min_q104,7,6,6,6,0,0,1,6,1,3,1,1,3,1
Mode_q104,7,7,8,7,7,7,2,7,7,7,7,6,8,7
Average_q201,2.0,2.0,2.0,2.0,1.8,1.6,2.95,2.0,1.9,2.0,2.0,2.0,2.0,1.95
Max_q201,2,2,2,2,2,2,3,2,2,2,2,2,2,2
Min_q201,2,2,2,2,0,0,2,2,1,2,2,2,2,1
Mode_q201,2,2,2,2,2,2,3,2,2,2,2,2,2,2
Average_q202,2.0,2.3,2.05,5.15,2.0,1.75,2.15,2.0,2.0,2.0,2.0,2.0,2.0,1.85
Max_q202,2,8,3,20,2,2,4,2,2,2,2,2,2,2
Min_q202,2,2,2,2,2,0,1,2,2,2,2,2,2,1
Mode_q202,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Average_q301,5.6,4.05,6.05,1.5,3.0,2.85,2.4,3.0,1.0,5.9,1.15,1.55,3.65,1.1
Max_q301,8,5,10,5,3,3,3,3,1,20,3,3,6,2
Min_q301,2,4,2,1,3,0,1,3,1,3,1,1,2,1
Mode_q301,6,4,6,1,3,3,3,3,1,3,1,1,4,1
Average_q302,8.65,5.1,4.35,9.4,2.9,3.65,4.8,2.95,2.85,3.0,2.05,1.7,4.0,2.0
Max_q302,20,12,9,20,3,4,20,3,6,3,7,4,6,6
Min_q302,3,4,2,2,1,1,1,2,1,3,1,1,3,1
Mode_q302,6,5,3,3,3,4,2,3,1,3,1,1,4,1
Average_q401,2.3,7.35,7.15,8.65,4.7,1.9,2.15,6.15,7.1,5.5,9.95,6.65,5.75,7.65
Max_q401,5,10,8,12,7,2,8,8,9,9,20,20,7,20
Min_q401,2,5,7,5,0,0,1,2,5,2,3,1,5,4
Mode_q401,2,7,7,8,5,2,2,8,7,5,6,5,5,7
Average_q402,4.0,5.2,6.15,9.55,5.0,1.8,4.8,5.1,7.4,5.7,10.3,10.55,5.7,11.45
Max_q402,6,7,8,14,5,2,20,8,15,8,20,20,7,20
Min_q402,2,5,5,7,5,0,2,2,1,2,1,1,5,4
Mode_q402,5,5,5,9,5,2,2,2,8,5,20,5,5,20
